apple steve_jobs microsoft bill_gates 5 Common Definite Intra-Domain
head helmet bottle cap 3 Common Definite Intra-domain
head helmet pen box 1.2 Common Indefinite Cross-domain
flowers vase ashes urn 5 Common Definite Intra-domain
flowers vase medicine vial 4.8 Common Indefinite Cross-domain
flowers vase water bottle 4.6 Common Definite Intra-domain
flowers vase jam jar 4.4 Common Definite Cross-domain
flowers vase bodies morgue 4.2 Common Definite Intra-domain
flowers vase tea bag 2 Common Definite Cross-domain
flowers vase spoon hanger 1 Common Indefinite Cross-domain
leg crutch canvas easel 5 Common Definite Intra-domain
leg crutch camera tripod 4.4 Common Indefinite Cross-domain
leg crutch sail mast 4 Common Indefinite Cross-domain
leg crutch bulb lamp 3.2 Common Indefinite Cross-domain
leg crutch clothes clothespin 3 Common Indefinite Cross-domain
leg crutch plate cover 1 Common Indefinite Cross-domain
stairs ladder tanker bottle 5 Common Indefinite Cross-domain
stairs ladder shovel spoon 4.6 Common Indefinite Cross-domain
stairs ladder barrel bottle 3.8 Common Indefinite Cross-domain
stairs ladder sea lake 3.2 Common Indefinite Cross-domain
stairs ladder sky ceiling 3 Common Indefinite Cross-domain
stairs ladder mountain hill 2.8 Common Indefinite Cross-domain
stairs ladder pipe pistol 1 Common Indefinite Cross-domain
dim light fade colour 5 Common Definite Intra-domain
dim light decline health 4.8 Common Indefinite Cross-domain
dim light debit balance 4.6 Common Definite Cross-domain
dim light melt density 3 Common Indefinite Cross-domain
dim light decrease pressure 3 Common Indefinite Intra-domain
dim light elongate heat 1.8 Common Definite Cross-domain
dim light darken odor 1 Common Definite Cross-domain
wIndefiniteow curtain face veil 5 Common Indefinite Cross-domain
wIndefiniteow curtain body clothes 4.8 Common Definite Cross-domain
wIndefiniteow curtain head hood 4 Common Indefinite Cross-domain
wIndefiniteow curtain bed sheet 3 Common Definite Cross-domain
wIndefiniteow curtain pillow pillowcase 3 Common Definite Cross-domain
wIndefiniteow curtain bottle cover 1.8 Common Indefinite Cross-domain
mobile battery body heart 5 Common Indefinite Cross-domain
mobile battery automobile engine 4.8 Common Definite Cross-domain
mobile battery computer cpu 4 Common Definite Intra-domain
mobile battery atom nucleus 3.2 Common Indefinite Cross-domain
mobile battery door handle 3 Common Indefinite Cross-domain
mobile battery bone marrow 2 Common Definite Cross-domain
mobile battery cloth bottle 1 Common Indefinite Cross-domain
mosquito repellant pimple cream 5 Common Indefinite Cross-domain
mosquito repellant hunger food 4.8 Common Definite Cross-domain
mosquito repellant fire water 4.2 Common Indefinite Cross-domain
mosquito repellant disease medicine 4 Common Definite Cross-domain
mosquito repellant thirst water 4 Common Definite Cross-domain
mosquito repellant itch scratch 3.8 Common Indefinite Cross-domain
mosquito repellant pain massage 2.6 Common Indefinite Cross-domain
mosquito repellent riot police 2.5 Common Indefinite Cross-domain
mosquito repellant fall laugh 2 Common Indefinite Cross-domain
mosquito repellant nails ice 1 Common Indefinite Cross-domain
cloth detergent hand soap 5 Common Definite Intra-domain
cloth detergent hair shampoo 4.8 Common Definite Intra-domain
cloth detergent carpet vaccum 4.5 Common Definite Intra-domain
cloth detergent wound disinfectant 4 Common Indefinite Cross-domain
cloth detergent blackboard duster 3.5 Common Indefinite Cross-domain
cloth detergent floor mop 2 Common Indefinite Intra-domain
cloth detergent vessel scent 1.2 Common Indefinite Intra-domain
wall room equator hemisphere 5 Common Definite Cross-domain
wall room fence garden 4.8 Common Indefinite Intra-domain
wall room bank river 4 Common Definite Intra-domain
wall room crust pie 3.5 Common Indefinite Cross-domain
wall room hem skirt 3.2 Common Definite Cross-domain
wall room compound house 2 Common Indefinite Cross-domain
wall room sky palace 1 Common Indefinite Intra-domain
crack mirror pUncommonture tyre 5 Common Definite Cross-domain
crack mirror acne skin 4.6 Common Indefinite Cross-domain
crack mirror leukemia blood 4 Common Indefinite Cross-domain
crack mirror tear pantyhose 3.6 Common Indefinite Cross-domain
crack mirror chip porcelain 3 Common Indefinite Intra-domain
crack mirror hole heart 2 Common Indefinite Cross-domain
crack mirror scratch tea 1 Common Indefinite Intra-domain
whale pod weapon arsenal 5 Common Indefinite Intra-domain
whale pod flower boquet 5 Common Definite Cross-domain
whale pod minister cabinet 4.2 Common Indefinite Intra-domain
whale pod senator senate 3.8 Uncommon Definite Intra-domain
whale pod soldier troop 3 Uncommon Definite Cross-domain
whale pod leaf bUncommonh 2 Common Indefinite Cross-domain
whale pod lion friends 1.2 Common Definite Intra-domain
music compose cake bake 5 Common Definite Cross-domain
music compose dance choreograph 4.8 Common Indefinite Intra-domain
music compose software program 4.6 Common Definite Cross-domain
music compose dress stitch 3.8 Common Indefinite Cross-domain
musc compose literature language 2.8 Common Indefinite Cross-domain
music compose snowman build 2 Common Definite Intra-domain
music compose song lemon 1 Common Indefinite Cross-domain
exercise gym work office 5 Common Definite Intra-domain
exercise gym read library 5 Common Indefinite Intra-domain
exercise gym eat restaurant 4.8 Common Definite Intra-domain
exercise gym study school 4.8 Common Indefinite Cross-domain
exercise gym drink bar 4.4 Common Definite Cross-domain
exercise gym play park 3.2 Common Indefinite Intra-domain
exercise gym cook room 2 Common Indefinite Cross-domain
exercise gym sleep kitchen 1 Common Indefinite Cross-domain
penny 1 quarter 25 5 Common Definite Intra-domain
penny 1 nickel 5 5 Common Definite Intra-domain
penny 1 dime 10 4.8 Common Definite Intra-domain
penny 1 dollar 100 3 Common Definite Intra-domain
penny 1 dollar 1 2.2 Common Definite Intra-domain
penny 1 pence 30 1 Common Indefinite Intra-domain
music listen book read 5 Common Indefinite Intra-domain
music listen movie watch 4.8 Common Definite Intra-domain
music listen toy play 4.6 Common Indefinite Cross-domain
music listen perfume smell 4.2 Common Definite Intra-domain
music listen song dance 2.8 Common Indefinite Intra-domain
music listen video stand 1 Common Indefinite Intra-domain
colonel army king kingdom 5 Common Definite Intra-domain
colonel army father family 4.4 Common Definite Cross-domain
colonel army principal college 4 Common Indefinite Intra-domain
colonel army president country 3.5 Common Definite Intra-domain
colonel army headmaster school 3 Common Definite Cross-domain
colonel army watchman office 2.5 Common Definite Cross-domain
colonel army sister playground 1 Common Indefinite Intra-domain
egg chick larva insect 5 Uncommon Definite Intra-domain
egg chick seed tree 4.8 Common Definite Cross-domain
egg chick zygote human 4.8 Uncommon Definite Intra-domain
egg chick bud flower 4 Common Definite Cross-domain
egg chick caterpiller butterfly 4 Uncommon Definite Intra-domain
egg chick toad frog 3.8 Common Definite Intra-domain
egg chick flower fruit 3 Common Definite Cross-domain
egg chick root house 1 Common Indefinite Cross-domain
map atlas word dictionary 5 Common Definite Intra-domain
map atlas address directory 4.6 Common Indefinite Intra-domain
map atlas article magazine 4.4 Common Indefinite Intra-domain
map atlas photo album 4 Common Indefinite Intra-domain
map atlas food menu 3 Common Indefinite Cross-domain
map atlas contact diary 2.8 Common Indefinite Cross-domain
map atlas alcohol room 2 Common Indefinite Cross-domain
map atlas rock sky 1 Common Indefinite Cross-domain
fish swim bird fly 5 Common Definite Intra-domain
fish swim snake slither 4.8 Common Definite Intra-domain
fish swim man walk 4.5 Common Definite Intra-domain
fish swim animal run 3.8 Common Indefinite Intra-domain
fish swim baby crawl 3 Common Definite Intra-domain
fish swim mountain stand 2 Common Indefinite Cross-domain
fish swim cat jog 1 Common Indefinite Cross-domain
glass clear wood opaque 5 Common Indefinite Intra-domain
glass clear lead heavy 4.6 Common Indefinite Intra-domain
glass clear sandpaper rough 3.8 Common Indefinite Cross-domain
glass clear steel hard 3.6 Common Indefinite Cross-domain
glass clear foil smooth 3.2 Common Indefinite Intra-domain
glass clear marble shiny 3 Common Definite Intra-domain
glass clear feather strong 2.2 Common Indefinite Cross-domain
glass clear rod light 1 Common Indefinite Cross-domain
engineer program poet poem 5 Common Definite Intra-domain
engineer program author article 5 Common Indefinite Intra-domain
engineer program lawyer case 4.6 Common Indefinite Intra-domain
engineer program singer song 4.4 Common Definite Intra-domain
engineer program actress movie 4.2 Common Indefinite Intra-domain
engineer program carpenter furniture 3.8 Common Indefinite Cross-domain
engineer program cobbler shoes 3.4 Common Definite Intra-domain
engineer program teacher notes 3.2 Common Indefinite Intra-domain
engineer program dancer shoot 1.2 Common Indefinite Cross-domain
sweater knit shirt sew 4.6 Common Indefinite Intra-domain
sweater knit fabric weave 4.2 Common Definite Intra-domain
sweater knit dress stitch 4.2 Common Indefinite Intra-domain
sweater knit frock design 3.2 Common Definite Intra-domain
sweater knit leather knit 1.4 Common Indefinite Cross-domain
dog kennel horse stable 5 Common Definite Intra-domain
dog kennel bear cave 5 Common Definite Intra-domain
dog kennel lion den 4.8 Common Definite Intra-domain
dog kennel cat cattery 4.8 Uncommon Definite Intra-domain
dog kennel buffalo barn 4.2 Common Definite Intra-domain
dog kennel alligator nest 4 Common Definite Intra-domain
dog kennel monkey tree 3.6 Common Indefinite Intra-domain
dog kennel camel sea 1 Common Indefinite Intra-domain
cat kitten dog puppy 5 Common Definite Intra-domain
cat kitten bear cub 5 Common Definite Intra-domain
cat kitten donkey foal 5 Common Definite Intra-domain
cat kitten camel calf 5 Common Definite Intra-domain
cat kitten goose gosling 5 Common Definite Intra-domain
cat kitten kangaroo joey 5 Common Definite Intra-domain
cat kitten rat pup 3 Common Definite Intra-domain
cat kitten frog piglet 1.33 Common Definite Cross-domain
stallion mare gander goose 5 Common Definite Intra-domain
stallion mare lion lioness 5 Common Definite Intra-domain
stallion mare stag hIndefinite 4.8 Uncommon Definite Intra-domain
stallion mare boar sow 4.4 Uncommon Definite Intra-domain
stallion mare dog bitch 4.2 Common Definite Intra-domain
stallion mare bull cow 4.2 Common Definite Intra-domain
stallion mare jack jenny 2.6 Common Definite Cross-domain
stallion mare stag tigress 2.6 Common Definite Intra-domain
stallion mare bull hen 2 Common Indefinite Cross-domain
china chinese japan japanese 5 Common Definite Intra-domain
china chinese Indefiniteia Indefiniteian 5 Common Definite Intra-domain
china chinese germany german 5 Common Definite Intra-domain
china chinese canada canadian 5 Common Definite Intra-domain
china chinese britain british 4.8 Common Definite Intra-domain
china chinese paris european 2.8 Common Definite Intra-domain
china chinese malaysia asian 2.6 Common Definite Intra-domain
china chinese australia african 1 Common Definite Cross-domain
china shanghai nigeria lagos 5 Common Definite Intra-domain
china shanghai canada toronto 4.8 Common Definite Intra-domain
china shanghai england leeds 4.5 Uncommon Indefinite Intra-domain
china shanghai pakistan karachi 4.4 Uncommon Definite Intra-domain
china shanghai russia moscow 4 Uncommon Definite Intra-domain
china shanghai Indefiniteia mumbai 3.6 Common Definite Intra-domain
china shanghai Indefiniteonesia jakarta 3.6 Common Definite Intra-domain
china shanghai wales chennai 1 Uncommon Indefinite Intra-domain
amphibian frog reptile snake 5 Common Indefinite Intra-domain
amphibian frog mammal whale 4.8 Common Definite Intra-domain
amphibian frog bird eagle 4.4 Common Indefinite Intra-domain
amphibian frog fish gold 3 Common Indefinite Cross-domain
amphibian frog insect beer 1.4 Common Indefinite Intra-domain
amphibian frog animal rock 1 Common Indefinite Cross-domain
chicken coop bee hive 5 Common Definite Intra-domain
chicken coop bat roost 4.8 Uncommon Definite Intra-domain
chicken coop pigeon cote 4 Common Indefinite Intra-domain
chicken coop dove dovecot 3.8 Uncommon Indefinite Intra-domain
chicken coop duck pond 3 Common Indefinite Intra-domain
chicken coop crow mountain 2 Common Indefinite Cross-domain
hen cock duck drake 5 Common Definite Intra-domain
hen cock doe buck 4.6 Common Definite Intra-domain
hen cock hen rooster 4 Common Definite Intra-domain
hen cock queen drone 3.4 Common Definite Intra-domain
hen cock bird cock 2 Common Definite Cross-domain
hen cock eagle farm 1.8 Common Definite Cross-domain
jeans zipper shirt button 5 Common Indefinite Intra-domain
jeans zipper shoes lace 4.4 Common Indefinite Intra-domain
jeans zipper dress ribbon 3.8 Common Definite Intra-domain
jeans zipper cap velcro 4.25 Common Indefinite Intra-domain
jeans zipper t-shirt pocket 3.4 Common Indefinite Intra-domain
jeans zipper jacket zip 3.2 Common Indefinite Intra-domain
hola spanish hallo german 5 Uncommon Definite Intra-domain
hola spanish ciao italian 4.75 Uncommon Definite Intra-domain
hola spanish hello english 5 Common Definite Intra-domain
hola spanish hej danish 5 Uncommon Definite Intra-domain
hola spanish namaste hIndefinitei 4.8 Uncommon Definite Intra-domain
hola spanish hello chinese 2 Common Indefinite Intra-domain
car auto movie film 4.8 Common Definite Cross-domain
car auto good nice 3 Common Indefinite Cross-domain
car auto chest thorax 3.33 Common Definite Cross-domain
car auto smile laugh 3 Common Indefinite Cross-domain
car auto leopard tiger 2.8 Common Indefinite Cross-domain
car auto shower pour 2.2 Common Definite Cross-domain
car auto see sea 1.2 Common Indefinite Cross-domain
happy content anger enrage 5 Uncommon Definite Intra-domain
happy content fear fright 4.2 Uncommon Indefinite Intra-domain
happy content sad despair 4 Uncommon Indefinite Intra-domain
happy content disgust distaste 4 Uncommon Indefinite Intra-domain
happy content pain dreamy 1.8 Uncommon Indefinite Intra-domain
happy content excitement aloof 1.2 Uncommon Indefinite Cross-domain
closet clothes shelf book 5 Common Indefinite Intra-domain
closet clothes rack shoe 4.4 Common Indefinite Intra-domain
closet clothes fridge butter 4.2 Common Indefinite Cross-domain
closet clothes freezer beer 4 Common Definite Intra-domain
closet clothes parking car 3.6 Common Indefinite Cross-domain
closet clothes hanger shirts 3 Common Indefinite Intra-domain
closet clothes hat garage 1.6 Common Indefinite Cross-domain
closet clothes tools wardrobe 1 Common Indefinite Cross-domain
policeman policewoman host hostess 5 Common Definite Intra-domain
policeman policewoman poet poetess 5 Common Definite Intra-domain
policeman policewoman landlord landlady 4.8 Common Definite Cross-domain
policeman policewoman master mistress 4.5 Common Definite Intra-domain
policeman policewoman king queen 4.5 Common Definite Intra-domain
policeman policewoman hero actress 3.6 Common Definite Cross-domain
policeman policewoman master governor 2 Common Definite Cross-domain
policeman policewoman emperor waitress 1 Common Definite Intra-domain
teacher teach actor act 5 Common Definite Intra-domain
teacher teach chef cook 5 Common Definite Cross-domain
teacher teach programmer program 4.2 Common Definite Intra-domain
teacher teach waiter serve 4 Common Definite Intra-domain
teacher teach manager accounting 2.8 Common Definite Intra-domain
teacher teach architect sows 2 Common Indefinite Intra-domain
teacher teach engineer cure 1 Common Indefinite Intra-domain
teacher teach farmer sing 1 Common Definite Intra-domain
bad terrible disgusting loathsome 5 Common Indefinite Intra-domain
bad terrible horrible awful 5 Uncommon Indefinite Intra-domain
bad terrible trick cheat 4.4 Common Definite Intra-domain
bad terrible mean nasty 4 Common Indefinite Intra-domain
bad terrible abhorrent abominable 3.8 Uncommon Indefinite Intra-domain
bad terrible ominous sinister 3.4 Uncommon Indefinite Intra-domain
bad terrible awesome awful 2.6 Common Definite Intra-domain
bad terrible ugly fugly 1.2 Common Indefinite Cross-domain
bad terrible stormy calm 1 Common Indefinite Cross-domain
neck scarf hand glove 5 Common Definite Intra-domain
neck scarf foot sock 4.8 Common Definite Intra-domain
neck scarf finger ring 4.6 Common Definite Intra-domain
neck scarf head hat 4.2 Common Indefinite Intra-domain
neck scarf wrist watch 4 Common Indefinite Intra-domain
neck scarf eyelash mascara 3.5 Common Indefinite Intra-domain
neck scarf leg boots 3 Common Definite Intra-domain
neck scarf back comb 2.1 Common Definite Intra-domain
neck scarf tummy crown 1 Common Indefinite Intra-domain
rain umbrella wIndefinite jacket 5 Common Indefinite Intra-domain
rain umbrella ice glove 4.2 Common Indefinite Intra-domain
rain umbrella sun hat 4 Common Indefinite Intra-domain
rain umbrella snow scarf 3 Common Indefinite Intra-domain
rain umbrella sun umbrella 2 Common Indefinite Intra-domain
rain umbrella storm skates 1 Common Indefinite Cross-domain
doctor orthodontist scientist physicist 5 Common Indefinite Intra-domain
doctor orthodontist artist painter 5 Common Indefinite Cross-domain
doctor orthodontist musician singer 4 Common Indefinite Intra-domain
doctor orthodontist minister president 3 Common Indefinite Cross-domain
doctor orthodontist leader manager 2.4 Common Indefinite Intra-domain
doctor orthodontist doctor manager 1.6 Common Indefinite Cross-domain
doctor orthodontist chemist joker 1 Common Definite Cross-domain
goat milk duck eggs 5 Common Definite Intra-domain
goat milk buffalo milk 5 Common Indefinite Intra-domain
goat milk sheep wool 4.5 Common Definite Intra-domain
goat milk elephant ivory 4 Common Definite Intra-domain
goat milk snake skin 3.6 Common Indefinite Intra-domain
goat milk cow manure 3 Common Indefinite Intra-domain
goat milk lion milk 1.5 Common Indefinite Intra-domain
goat milk pig pastry 1 Common Indefinite Intra-domain
bird wings fish fins 5 Common Definite Intra-domain
bird wings deer legs 4.8 Common Definite Intra-domain
bird wings octopus tentacles 4.6 Common Definite Intra-domain
bird wings cat paws 4.4 Common Definite Intra-domain
bird wings eagle feathers 3 Common Indefinite Intra-domain
bird wings snake body 2.4 Common Indefinite Cross-domain
bird wings elephant fins 1 Common Definite Cross-domain
germany euro kenya shilling 5 Uncommon Definite Intra-domain
germany euro japan yen 5 Uncommon Definite Intra-domain
germany euro Indefiniteia rupee 5 Uncommon Definite Intra-domain
germany euro england pound 5 Common Definite Intra-domain
germany euro denmark krone 5 Common Definite Intra-domain
germany euro iceland krona 4.8 Uncommon Definite Intra-domain
germany euro czech koruna 4.8 Uncommon Definite Intra-domain
germany euro france euro 4.8 Uncommon Definite Intra-domain
germany euro china yuan 4.2 Uncommon Definite Intra-domain
germany euro yen rupee 1.4 Uncommon Definite Intra-domain
london england amsterdam netherlands 5 Common Definite Intra-domain
london england beijing china 5 Common Definite Intra-domain
london england berlin germany 5 Common Definite Intra-domain
london england brussels belgium 5 Common Definite Intra-domain
london england copenhagen denmark 5 Common Definite Intra-domain
london england cardiff wales 5 Common Definite Intra-domain
london england delhi Indefiniteia 5 Common Definite Intra-domain
london england doha qatar 5 Common Definite Intra-domain
london england ottawa canada 5 Common Definite Intra-domain
london england paris france 5 Common Definite Intra-domain
london england rome italy 5 Common Definite Intra-domain
london england tokyo japan 5 Common Definite Intra-domain
london england dhaka bangladesh 4.8 Common Definite Intra-domain
london england munich germany 4 Common Definite Intra-domain
london england copenhagen cape 1.8 Common Definite Intra-domain
london england china africa 1 Common Definite Intra-domain
tumor cancer inflammation swelling 4.6 Common Definite Intra-domain
tumor cancer nausea vomiting 4.4 Common Indefinite Intra-domain
tumor cancer bruise redness 3.8 Common Definite Intra-domain
tumor cancer fever temperature 3.4 Common Indefinite Intra-domain
tumor cancer cancer yellowish 1.4 Common Indefinite Intra-domain
tumor cancer attack smile 1 Common Indefinite Cross-domain
stethoscope doctor gun police 4.6 Common Definite Intra-domain
stethoscope doctor pen writer 4.4 Common Definite Intra-domain
stethoscope doctor chalk teacher 4.2 Common Indefinite Intra-domain
stethoscope doctor mike orator 4.2 Common Indefinite Cross-domain
stethoscope doctor hammer mechanic 3.8 Common Indefinite Cross-domain
stethoscope doctor laptop engineer 3 Common Indefinite Intra-domain
stethoscope doctor wire painter 2.6 Common Indefinite Cross-domain
stethoscope doctor microscope farmer 1.2 Common Indefinite Cross-domain
keyboard finger flute lips 5 Common Definite Intra-domain
keyboard finger piano finger 4.6 Common Indefinite Intra-domain
keyboard finger mike mouth 4.2 Common Definite Intra-domain
keyboard finger headphone ear 4 Common Indefinite Intra-domain
keyboard finger screen eye 3.8 Common Definite Intra-domain
keyboard finger pedal leg 3.6 Common Indefinite Cross-domain
keyboard finger tube elbow 1 Common Indefinite Cross-domain
cup coffee bowl soup 5 Common Indefinite Intra-domain
cup coffee jug water 4.6 Common Indefinite Intra-domain
cup coffee plate food 4 Common Indefinite Intra-domain
cup coffee pan pizza 3.8 Common Indefinite Intra-domain
cup coffee spoon pasta 3.4 Common Definite Intra-domain
cup coffee cooker rice 3 Common Indefinite Intra-domain
cup coffee bottle vegetable 1 Common Indefinite Intra-domain
cup coffee potato tea 1 Common Indefinite Cross-domain
fireplace fire chimney smoke 5 Common Definite Intra-domain
fireplace fire bulb light 4.2 Common Definite Intra-domain
fireplace fire tap water 4 Common Definite Intra-domain
fireplace fire drawer tools 3.6 Common Indefinite Cross-domain
fireplace fire wIndefiniteow breeze 3.2 Common Indefinite Cross-domain
fireplace fire cooler air 3 Common Definite Cross-domain
fireplace fire cigarette ash 2.6 Common Definite Cross-domain
fireplace fire table fork 2.1 Common Indefinite Cross-domain
fireplace fire sweet flood 1 Common Indefinite Cross-domain
bed sleep pool swim 5 Common Definite Intra-domain
bed sleep shower bathe 4.8 Common Definite Intra-domain
bed sleep sofa sit 4.6 Common Definite Intra-domain
bed sleep stove cook 4.6 Common Definite Cross-domain
bed sleep stair climb 3.8 Common Definite Intra-domain
bed sleep study read 3.1 Common Indefinite Cross-domain
bed sleep chair fall 1.8 Common Indefinite Cross-domain
bed sleep bathroom dance 1.2 Common Indefinite Cross-domain
lamp light fan air 5 Common Definite Cross-domain
lamp light sun heat 5 Common Indefinite Intra-domain
lamp light lighter fire 4.2 Common Definite Intra-domain
lamp light cloud rain 3.8 Common Indefinite Intra-domain
lamp light coal diamond 3.2 Common Indefinite Cross-domain
lamp light rain rainbow 2.8 Common Definite Cross-domain
lamp light cooler snow 2.6 Common Indefinite Cross-domain
lamp light laptop air 2 Common Indefinite Cross-domain
lamp light storm lake 1 Common Indefinite Cross-domain
ennui boredom rendezvous tryst 5 Uncommon Indefinite Cross-domain
ennui boredom virtuoso star 5 Uncommon Indefinite Intra-domain
ennui boredom antiquity relic 4.3 Uncommon Definite Cross-domain
ennui boredom lathe turret 3.1 Uncommon Indefinite Cross-domain
ennui boredom exagerrate request 2 Uncommon Indefinite Cross-domain
ennui boredom negotiate kill 1 Uncommon Indefinite Cross-domain
good bad high low 5 Common Definite Intra-domain
good bad old young 5 Common Definite Cross-domain
good bad clean dirty 4.8 Common Indefinite Intra-domain
good bad long small 4.4 Common Definite Cross-domain
good bad root tip 3.4 Common Definite Cross-domain
good bad hit walk 2 Common Indefinite Cross-domain
good bad wide hard 1.2 Common Indefinite Cross-domain
love hate fun boredom 5 Common Definite Intra-domain
love hate attract disgust 4.6 Common Definite Intra-domain
love hate confidence fear 4 Common Definite Intra-domain
love hate excitement Indefiniteifference 3.2 Common Indefinite Intra-domain
love hate anger hard 1.8 Common Indefinite Intra-domain
love hate smile nervous 1.6 Common Indefinite Intra-domain
apple red sapodilla brown 5 Uncommon Indefinite Intra-domain
apple red grape purple 4.8 Common Indefinite Intra-domain
apple red banana yellow 4.6 Common Indefinite Intra-domain
apple red watermelon green 4.6 Common Definite Intra-domain
apple red plum red 4 Common Indefinite Intra-domain
apple red peach yellow 3.8 Common Indefinite Intra-domain
fire hot ice cold 5 Common Definite Intra-domain
fire hot candy sweet 4.8 Common Definite Cross-domain
fire hot cotton soft 3.6 Common Indefinite Cross-domain
fire hot tea hot 3.4 Common Indefinite Cross-domain
fire hot grass wet 2.8 Common Indefinite Cross-domain
fire hot tree brown 1.6 Common Definite Cross-domain
eye see ear hear 5 Common Definite Intra-domain
eye see nose smell 5 Common Definite Intra-domain
eye see skin feel 4.8 Common Definite Intra-domain
eye see tongue taste 4.8 Common Definite Intra-domain
eye see leg walk 4.8 Common Definite Intra-domain
eye see tooth eat 4.2 Common Definite Intra-domain
keyboard type pen write 5 Common Definite Intra-domain
keyboard type saw cut 5 Common Definite Intra-domain
keyboard type mirror reflect 4.6 Common Definite Cross-domain
keyboard type fan air 3.8 Common Definite Intra-domain
keyboard type bag storage 3.6 Common Definite Cross-domain
keyboard type car motion 2.1 Common Definite Intra-domain
keyboard type laptop dance 1.2 Common Indefinite Intra-domain
kakapo flightless stabyhoun peaceful 5 Uncommon Indefinite Intra-domain
kakapo flightless bulbasaur reptilian 4 Uncommon Indefinite Cross-domain
kakapo flightless pisces dreamy 3.8 Uncommon Indefinite Cross-domain
kakapo flightless campion odorless 2.6 Uncommon Indefinite Cross-domain
kakapo flightless poodle pompret 2.2 Uncommon Indefinite Cross-domain
kakapo flightless stingray steak 1.2 Uncommon Definite Intra-domain
joke laughter alcohol hangover 4.2 Common Indefinite Cross-domain
